name,flag,program,imo,mmsi,source,risk_category
CRIMSON ACE,sg,Tokyo MOU (rétentions Asie-Pacifique),9727429,,OpenSanctions,psc_detained
PACIFIC 08,pa,Tokyo MOU (rétentions Asie-Pacifique),9287144,,OpenSanctions,psc_detained
KEN SPIRIT,pa,Tokyo MOU (rétentions Asie-Pacifique),9538971,,OpenSanctions,psc_detained
ANGUS,mh,Tokyo MOU (rétentions Asie-Pacifique),9469780,,OpenSanctions,psc_detained
AVENTINE,pa,Tokyo MOU (rétentions Asie-Pacifique),9123192,,OpenSanctions,psc_detained
KSL SAN FRANCISCO,hk,Tokyo MOU (rétentions Asie-Pacifique),9719915,,OpenSanctions,psc_detained
THERESA ORION,hk,Tokyo MOU (rétentions Asie-Pacifique),9401386,,OpenSanctions,psc_detained
MEDITERRANEAN HIGHWAY,pa,Tokyo MOU (rétentions Asie-Pacifique),9250220,,OpenSanctions,psc_detained
ACHILLES BULKER,pa,Tokyo MOU (rétentions Asie-Pacifique),9270907,,OpenSanctions,psc_detained
PHOENIX NEREID,pa,Tokyo MOU (rétentions Asie-Pacifique),9586863,,OpenSanctions,psc_detained
CHANG RONG 11,pa,Tokyo MOU (rétentions Asie-Pacifique),8357564,,OpenSanctions,psc_detained
KODIAK ISLAND,pe,Tokyo MOU (rétentions Asie-Pacifique),7901992,,OpenSanctions,psc_detained
STAR MARINER,pa,Tokyo MOU (rétentions Asie-Pacifique),8613920,,OpenSanctions,psc_detained
MAERSK ARAS,pa,Tokyo MOU (rétentions Asie-Pacifique),9624275,,OpenSanctions,psc_detained
HMM PEARL,lr,Tokyo MOU (rétentions Asie-Pacifique),9944508,,OpenSanctions,psc_detained
APL ENGLAND,sg,Tokyo MOU (rétentions Asie-Pacifique),9218650,,OpenSanctions,psc_detained
AMGU,bz;tg;tz,Tokyo MOU (rétentions Asie-Pacifique),9113226,,OpenSanctions,psc_detained
MAX WARRIOR,lr,Tokyo MOU (rétentions Asie-Pacifique),9600425,,OpenSanctions,psc_detained
APOLLONIUS,mh,Tokyo MOU (rétentions Asie-Pacifique),9718234,,OpenSanctions,psc_detained
STS POSEIDON,pa,Tokyo MOU (rétentions Asie-Pacifique),8987888,,OpenSanctions,psc_detained
SEACON FUKUOKA,ph,Tokyo MOU (rétentions Asie-Pacifique),9621716,,OpenSanctions,psc_detained
KEY OHANA,mh,Tokyo MOU (rétentions Asie-Pacifique),9478585,,OpenSanctions,psc_detained
CLIVIA,bz;pa,Tokyo MOU (rétentions Asie-Pacifique),8668509,,OpenSanctions,psc_detained
GUO HAI LIAN 638,hk,Tokyo MOU (rétentions Asie-Pacifique),9591545,,OpenSanctions,psc_detained
SEA OF LUCK,pa,Tokyo MOU (rétentions Asie-Pacifique),9202481,,OpenSanctions,psc_detained
ATN APOLLO,vn,Tokyo MOU (rétentions Asie-Pacifique),9567867,,OpenSanctions,psc_detained
HOSEI FORTUNE,pa,Tokyo MOU (rétentions Asie-Pacifique),9542879,,OpenSanctions,psc_detained
PHUONG DONG 06,vn,Tokyo MOU (rétentions Asie-Pacifique),9054846,,OpenSanctions,psc_detained
WIN STAR,pa,Tokyo MOU (rétentions Asie-Pacifique),8580757,,OpenSanctions,psc_detained
GLOBAL KING 1,pa,Tokyo MOU (rétentions Asie-Pacifique),9394727,,OpenSanctions,psc_detained
XINGHE 9,tg,Tokyo MOU (rétentions Asie-Pacifique),9005637,,OpenSanctions,psc_detained
PHUBAI PATTRA 5,th,Tokyo MOU (rétentions Asie-Pacifique),9190975,,OpenSanctions,psc_detained
ARIANE,lr,Tokyo MOU (rétentions Asie-Pacifique),9351464,,OpenSanctions,psc_detained
HOANH SON GLOBAL,pa,Tokyo MOU (rétentions Asie-Pacifique),9316907,,OpenSanctions,psc_detained
SWARNA MALA,in,Tokyo MOU (rétentions Asie-Pacifique),9421403,,OpenSanctions,psc_detained
RIZHAO ORIENT,pa,Tokyo MOU (rétentions Asie-Pacifique),9350692,,OpenSanctions,psc_detained
E. R. DENMARK,lr,Tokyo MOU (rétentions Asie-Pacifique),9231250,,OpenSanctions,psc_detained
INCE ANADOLU,pa,Tokyo MOU (rétentions Asie-Pacifique),9527271,,OpenSanctions,psc_detained
SIMA GISELLE,sg,Tokyo MOU (rétentions Asie-Pacifique),9704661,,OpenSanctions,psc_detained
ALPHA MELODY,gr,Tokyo MOU (rétentions Asie-Pacifique),9221889,,OpenSanctions,psc_detained
A KINKA,pa,Tokyo MOU (rétentions Asie-Pacifique),9433054,,OpenSanctions,psc_detained
JAL MURARI,pa,Tokyo MOU (rétentions Asie-Pacifique),9849564,,OpenSanctions,psc_detained
CHARIKLIA JUNIOR,lr,Tokyo MOU (rétentions Asie-Pacifique),9548201,,OpenSanctions,psc_detained
IONAKOS,mh,Tokyo MOU (rétentions Asie-Pacifique),9472098,,OpenSanctions,psc_detained
OCEAN CENTURY,mt,Tokyo MOU (rétentions Asie-Pacifique),9485033,,OpenSanctions,psc_detained
AMILYN,lr,Tokyo MOU (rétentions Asie-Pacifique),9728368,,OpenSanctions,psc_detained
EVER LASTING,gb,Tokyo MOU (rétentions Asie-Pacifique),9595450,,OpenSanctions,psc_detained
CROSSANDRA,pa,Tokyo MOU (rétentions Asie-Pacifique),9370226,,OpenSanctions,psc_detained
MSC ASTRID,pa,Tokyo MOU (rétentions Asie-Pacifique),9263344,,OpenSanctions,psc_detained
BALTIC GLORY,mh,Tokyo MOU (rétentions Asie-Pacifique),9307645,,OpenSanctions,psc_detained
M KEPLER,pa,Tokyo MOU (rétentions Asie-Pacifique),1132343,,OpenSanctions,psc_detained
SEA BREEZE 23,ki,Tokyo MOU (rétentions Asie-Pacifique),9444106,,OpenSanctions,psc_detained
TULIP,pa,Tokyo MOU (rétentions Asie-Pacifique),9191723,,OpenSanctions,psc_detained
HIGH GOLD,pa,Tokyo MOU (rétentions Asie-Pacifique),9283643,,OpenSanctions,psc_detained
FU RUN DA 1,sl,Tokyo MOU (rétentions Asie-Pacifique),1099814,,OpenSanctions,psc_detained
MSC RINI III,lr,Tokyo MOU (rétentions Asie-Pacifique),9419644,,OpenSanctions,psc_detained
CRYSTAL VLADIVOSTOK,ru,Tokyo MOU (rétentions Asie-Pacifique),9251509,,OpenSanctions,psc_detained
AGLAIA,lr,Tokyo MOU (rétentions Asie-Pacifique),9400215,,OpenSanctions,psc_detained
SOCOL 9,pa,Tokyo MOU (rétentions Asie-Pacifique),8801618,,OpenSanctions,psc_detained
PACIFIC CONDOR,pa,Tokyo MOU (rétentions Asie-Pacifique),9216339,,OpenSanctions,psc_detained
NORDIC MALMOE,lr,Tokyo MOU (rétentions Asie-Pacifique),9602679,,OpenSanctions,psc_detained
HOEGH TROOPER,no,Tokyo MOU (rétentions Asie-Pacifique),9075711,,OpenSanctions,psc_detained
SPRING SYMPHONY,pa,Tokyo MOU (rétentions Asie-Pacifique),9301249,,OpenSanctions,psc_detained
AQUILLA MAJOR,hn,Tokyo MOU (rétentions Asie-Pacifique),9292967,,OpenSanctions,psc_detained
PERLITA,mh,Tokyo MOU (rétentions Asie-Pacifique),9189861,,OpenSanctions,psc_detained
WARBA,pa,Tokyo MOU (rétentions Asie-Pacifique),9345178,,OpenSanctions,psc_detained
NAVIOS LUZ,pa,Tokyo MOU (rétentions Asie-Pacifique),9481295,,OpenSanctions,psc_detained
UOG LAMYRA,mh,Tokyo MOU (rétentions Asie-Pacifique),9489065,,OpenSanctions,psc_detained
SG PEGASUS,pa,Tokyo MOU (rétentions Asie-Pacifique),9494876,,OpenSanctions,psc_detained
JIN DE 5,pa,Tokyo MOU (rétentions Asie-Pacifique),9583457,,OpenSanctions,psc_detained
SPECTRUM OF THE SEAS,cy,Tokyo MOU (rétentions Asie-Pacifique),9778856,,OpenSanctions,psc_detained
MICHALAKIS,bb,Tokyo MOU (rétentions Asie-Pacifique),9182162,,OpenSanctions,psc_detained
NEW EXPLORER,lr,Tokyo MOU (rétentions Asie-Pacifique),9481489,,OpenSanctions,psc_detained
MYKONOS,mh,Tokyo MOU (rétentions Asie-Pacifique),9450791,,OpenSanctions,psc_detained
WELLINGTON STAR,bs,Tokyo MOU (rétentions Asie-Pacifique),8917584,,OpenSanctions,psc_detained
FPMC B FOREVER,lr,Tokyo MOU (rétentions Asie-Pacifique),9445253,,OpenSanctions,psc_detained
SIBULK TRADITION,pa,Tokyo MOU (rétentions Asie-Pacifique),9442902,,OpenSanctions,psc_detained
CALIPSO,bs,Tokyo MOU (rétentions Asie-Pacifique),9297929,,OpenSanctions,psc_detained
ZEKREET,mh,Tokyo MOU (rétentions Asie-Pacifique),9132818,,OpenSanctions,psc_detained
THOR INSUVI,sg,Tokyo MOU (rétentions Asie-Pacifique),9298533,,OpenSanctions,psc_detained
GREBE BULKER,mh,Tokyo MOU (rétentions Asie-Pacifique),9441312,,OpenSanctions,psc_detained
BAO AN,pa,Tokyo MOU (rétentions Asie-Pacifique),9362994,,OpenSanctions,psc_detained
CHEER SKY,pa,Tokyo MOU (rétentions Asie-Pacifique),9116527,,OpenSanctions,psc_detained
MAASGRACHT,nl,Tokyo MOU (rétentions Asie-Pacifique),9571492,,OpenSanctions,psc_detained
NAVE VELOCITY,mh,Tokyo MOU (rétentions Asie-Pacifique),9657052,,OpenSanctions,psc_detained
SSI SPLENDID,mh,Tokyo MOU (rétentions Asie-Pacifique),9848077,,OpenSanctions,psc_detained
INLACO EXPRESS,vn,Tokyo MOU (rétentions Asie-Pacifique),9420227,,OpenSanctions,psc_detained
BERNORA,bs,Tokyo MOU (rétentions Asie-Pacifique),9352145,,OpenSanctions,psc_detained
CHENNAI VOYAGER,pa,Tokyo MOU (rétentions Asie-Pacifique),9153410,,OpenSanctions,psc_detained
ORIENT SUNSHINE,tg,Tokyo MOU (rétentions Asie-Pacifique),9036882,,OpenSanctions,psc_detained
ORLEANS HAWK,tz,Tokyo MOU (rétentions Asie-Pacifique),9178329,,OpenSanctions,psc_detained
EASTERN HARMONY,lr,Tokyo MOU (rétentions Asie-Pacifique),9517006,,OpenSanctions,psc_detained
AFRICAN PEACOCK,pa,Tokyo MOU (rétentions Asie-Pacifique),1013664,,OpenSanctions,psc_detained
JET,pa,Tokyo MOU (rétentions Asie-Pacifique),9387619,,OpenSanctions,psc_detained
YONG XIN 08,pa,Tokyo MOU (rétentions Asie-Pacifique),9988243,,OpenSanctions,psc_detained
VINALINES DIAMOND,pa,Tokyo MOU (rétentions Asie-Pacifique),9330288,,OpenSanctions,psc_detained
JIN MAO,hk,Tokyo MOU (rétentions Asie-Pacifique),9626924,,OpenSanctions,psc_detained
RICH OCEAN,pa,Tokyo MOU (rétentions Asie-Pacifique),9302293,,OpenSanctions,psc_detained
NEPTUNE LINE 21,pa,Tokyo MOU (rétentions Asie-Pacifique),8594368,,OpenSanctions,psc_detained
JIA XIANG DA,pa,Tokyo MOU (rétentions Asie-Pacifique),9287962,,OpenSanctions,psc_detained
TAURUS TWO,pa,Tokyo MOU (rétentions Asie-Pacifique),9330111,,OpenSanctions,psc_detained
JIA SHENG 218,bz,Tokyo MOU (rétentions Asie-Pacifique),8781416,,OpenSanctions,psc_detained
THERESA GLORY,pa,Tokyo MOU (rétentions Asie-Pacifique),9952220,,OpenSanctions,psc_detained
ZEAL LUMOS,gb,Tokyo MOU (rétentions Asie-Pacifique),9864241,,OpenSanctions,psc_detained
BULK ORION,mh,Tokyo MOU (rétentions Asie-Pacifique),9500039,,OpenSanctions,psc_detained
STAR JANET,tz,Tokyo MOU (rétentions Asie-Pacifique),8532372,,OpenSanctions,psc_detained
MORVARID 2,st,Tokyo MOU (rétentions Asie-Pacifique),1140522,,OpenSanctions,psc_detained
BBC RHINE,lr,Tokyo MOU (rétentions Asie-Pacifique),9368338,,OpenSanctions,psc_detained
HUI FA,pa,Tokyo MOU (rétentions Asie-Pacifique),9714939,,OpenSanctions,psc_detained
MSC SYDNEY VI,lr,Tokyo MOU (rétentions Asie-Pacifique),9200677,,OpenSanctions,psc_detained
ODISSEUS,lr,Tokyo MOU (rétentions Asie-Pacifique),9257084,,OpenSanctions,psc_detained
CHANG YOUNG,kr,Tokyo MOU (rétentions Asie-Pacifique),9300788,,OpenSanctions,psc_detained
XIN HAI 788,bz;st,Tokyo MOU (rétentions Asie-Pacifique),9518593,,OpenSanctions,psc_detained
GENEVA STAR,sg,Tokyo MOU (rétentions Asie-Pacifique),9728124,,OpenSanctions,psc_detained
YPSOS,pa,Tokyo MOU (rétentions Asie-Pacifique),9493585,,OpenSanctions,psc_detained
ORCHARD WW,pa,Tokyo MOU (rétentions Asie-Pacifique),9493676,,OpenSanctions,psc_detained
TANHO,st,Tokyo MOU (rétentions Asie-Pacifique),9279824,,OpenSanctions,psc_detained
LADY WYNN,sg,Tokyo MOU (rétentions Asie-Pacifique),9861794,,OpenSanctions,psc_detained
RUNXIANG,pa,Tokyo MOU (rétentions Asie-Pacifique),9549308,,OpenSanctions,psc_detained
HESTIANA,pa,Tokyo MOU (rétentions Asie-Pacifique),9336488,,OpenSanctions,psc_detained
NAVIOS JASMINE,pa,Tokyo MOU (rétentions Asie-Pacifique),9345958,,OpenSanctions,psc_detained
THORSTAR,lr,Tokyo MOU (rétentions Asie-Pacifique),9253002,,OpenSanctions,psc_detained
WHITNEY,pa,Tokyo MOU (rétentions Asie-Pacifique),9551337,,OpenSanctions,psc_detained
LADY ROSEBAY,pa,Tokyo MOU (rétentions Asie-Pacifique),9412751,,OpenSanctions,psc_detained
TWINLUCK SW,pa,Tokyo MOU (rétentions Asie-Pacifique),9473767,,OpenSanctions,psc_detained
EARTH,tg,Tokyo MOU (rétentions Asie-Pacifique),1062299,,OpenSanctions,psc_detained
HAI XING,pa,Tokyo MOU (rétentions Asie-Pacifique),9177636,,OpenSanctions,psc_detained
CIELO DI PALERMO,pa,Tokyo MOU (rétentions Asie-Pacifique),9606003,,OpenSanctions,psc_detained
AS PIA,ag,Tokyo MOU (rétentions Asie-Pacifique),9434450,,OpenSanctions,psc_detained
MSC SHAHAR,lr,Tokyo MOU (rétentions Asie-Pacifique),9471238,,OpenSanctions,psc_detained
ORION III,lr,Tokyo MOU (rétentions Asie-Pacifique),9302748,,OpenSanctions,psc_detained
NAVIOS POLLUX,pa,Tokyo MOU (rétentions Asie-Pacifique),9460033,,OpenSanctions,psc_detained
HAO XIN,bz,Tokyo MOU (rétentions Asie-Pacifique),9186998,,OpenSanctions,psc_detained
ROYAL EMERALD,mh,Tokyo MOU (rétentions Asie-Pacifique),9365520,,OpenSanctions,psc_detained
YU FENG,pa,Tokyo MOU (rétentions Asie-Pacifique),9528691,,OpenSanctions,psc_detained
WU YANG GODDESS,bz,Tokyo MOU (rétentions Asie-Pacifique),9115004,,OpenSanctions,psc_detained
ALPHA BULKER,pa,Tokyo MOU (rétentions Asie-Pacifique),9336763,,OpenSanctions,psc_detained
KEN COLON,lr,Tokyo MOU (rétentions Asie-Pacifique),9832664,,OpenSanctions,psc_detained
DH 5,kr,Tokyo MOU (rétentions Asie-Pacifique),9072692,,OpenSanctions,psc_detained
WHITE ROCK,lr,Tokyo MOU (rétentions Asie-Pacifique),9511260,,OpenSanctions,psc_detained
SANTA INES,pa,Tokyo MOU (rétentions Asie-Pacifique),9860623,,OpenSanctions,psc_detained
STERLING SVEA,mt,Tokyo MOU (rétentions Asie-Pacifique),9626687,,OpenSanctions,psc_detained
KG ASIA,mh,Tokyo MOU (rétentions Asie-Pacifique),9190377,,OpenSanctions,psc_detained
AQUARIUS HONOR,pa,Tokyo MOU (rétentions Asie-Pacifique),9626572,,OpenSanctions,psc_detained
CASSANDRA,bz,Tokyo MOU (rétentions Asie-Pacifique),8681513,,OpenSanctions,psc_detained
FENG MAY,lr,Tokyo MOU (rétentions Asie-Pacifique),9838553,,OpenSanctions,psc_detained
GLOBAL SYMPHONY,hk,Tokyo MOU (rétentions Asie-Pacifique),9609342,,OpenSanctions,psc_detained
VENUS 08,pa,Tokyo MOU (rétentions Asie-Pacifique),9020132,,OpenSanctions,psc_detained
SEACON YOKOHAMA,lr,Tokyo MOU (rétentions Asie-Pacifique),9978341,,OpenSanctions,psc_detained
CORAL ISLANDER II,pa,Tokyo MOU (rétentions Asie-Pacifique),9255919,,OpenSanctions,psc_detained
SAKIZAYA POWER,pa,Tokyo MOU (rétentions Asie-Pacifique),9783136,,OpenSanctions,psc_detained
UM KURE,pa,Tokyo MOU (rétentions Asie-Pacifique),1036525,,OpenSanctions,psc_detained
IZUMO,pa,Tokyo MOU (rétentions Asie-Pacifique),9414967,,OpenSanctions,psc_detained
TAI JI,pa,Tokyo MOU (rétentions Asie-Pacifique),8804244,,OpenSanctions,psc_detained
RATTANA NAREE,th,Tokyo MOU (rétentions Asie-Pacifique),9245055,,OpenSanctions,psc_detained
DONG HUA 9,bz;sl,Tokyo MOU (rétentions Asie-Pacifique),8357239,,OpenSanctions,psc_detained
DARYA SHAAN,in,Tokyo MOU (rétentions Asie-Pacifique),9467897,,OpenSanctions,psc_detained
JI RUN,hk,Tokyo MOU (rétentions Asie-Pacifique),9037252,,OpenSanctions,psc_detained
SHIRARA,pa,Tokyo MOU (rétentions Asie-Pacifique),9513816,,OpenSanctions,psc_detained
WAKANDA,cm,Tokyo MOU (rétentions Asie-Pacifique),7528051,,OpenSanctions,psc_detained
EASLINE DALIAN,pa,Tokyo MOU (rétentions Asie-Pacifique),9167473,,OpenSanctions,psc_detained
TRABZON,mt,Tokyo MOU (rétentions Asie-Pacifique),9595046,,OpenSanctions,psc_detained
ANNA SMILE,mh,Tokyo MOU (rétentions Asie-Pacifique),9280770,,OpenSanctions,psc_detained
ANDREAS K,lr,Tokyo MOU (rétentions Asie-Pacifique),9491226,,OpenSanctions,psc_detained
HUA DE 219,pa,Tokyo MOU (rétentions Asie-Pacifique),8591938,,OpenSanctions,psc_detained
IKAN SELIGI,pa,Tokyo MOU (rétentions Asie-Pacifique),9479058,,OpenSanctions,psc_detained
SAKIZAYA CHAMPION,pa,Tokyo MOU (rétentions Asie-Pacifique),9680360,,OpenSanctions,psc_detained
EVER SMILE,gb,Tokyo MOU (rétentions Asie-Pacifique),9300415,,OpenSanctions,psc_detained
MOVERS 3,pa,Tokyo MOU (rétentions Asie-Pacifique),9250244,,OpenSanctions,psc_detained
GOLD EAGLE,pa,Tokyo MOU (rétentions Asie-Pacifique),9168398,,OpenSanctions,psc_detained
ON TIME,bz,Tokyo MOU (rétentions Asie-Pacifique),9088744,,OpenSanctions,psc_detained
DAITOMO 7,sl,Tokyo MOU (rétentions Asie-Pacifique),9532123,,OpenSanctions,psc_detained
CHARISMA,mh,Tokyo MOU (rétentions Asie-Pacifique),9409132,,OpenSanctions,psc_detained
POLARIS OCEAN,lr,Tokyo MOU (rétentions Asie-Pacifique),9466623,,OpenSanctions,psc_detained
WHITE FIN,mt,Tokyo MOU (rétentions Asie-Pacifique),9607291,,OpenSanctions,psc_detained
FEDERAL ISLAND,pa,Tokyo MOU (rétentions Asie-Pacifique),9790842,,OpenSanctions,psc_detained
JIN MING 16,pa,Tokyo MOU (rétentions Asie-Pacifique),1082421,,OpenSanctions,psc_detained
LIA,lr,Tokyo MOU (rétentions Asie-Pacifique),9417751,,OpenSanctions,psc_detained
TRANG AN 05,vn,Tokyo MOU (rétentions Asie-Pacifique),9282077,,OpenSanctions,psc_detained
MEGHNA PRINCESS,bd,Tokyo MOU (rétentions Asie-Pacifique),9805776,,OpenSanctions,psc_detained
ANANYA NAREE,sg,Tokyo MOU (rétentions Asie-Pacifique),9464003,,OpenSanctions,psc_detained
ASP SUNRISE,pa,Tokyo MOU (rétentions Asie-Pacifique),9713014,,OpenSanctions,psc_detained
STILIANOS K,mh,Tokyo MOU (rétentions Asie-Pacifique),9478779,,OpenSanctions,psc_detained
ROYAL DREAM,pa,Tokyo MOU (rétentions Asie-Pacifique),1091563,,OpenSanctions,psc_detained
PHOENIX 8,hk,Tokyo MOU (rétentions Asie-Pacifique),9303845,,OpenSanctions,psc_detained
YUNG DA FA 102,pa,Tokyo MOU (rétentions Asie-Pacifique),8323599,,OpenSanctions,psc_detained
TIONA,km,Tokyo MOU (rétentions Asie-Pacifique),9193824,,OpenSanctions,psc_detained
ILSHIN POLARIS ROYAL,kr,Tokyo MOU (rétentions Asie-Pacifique),9573098,,OpenSanctions,psc_detained
COSGRACE LAKE,pa,Tokyo MOU (rétentions Asie-Pacifique),9294587,,OpenSanctions,psc_detained
UN PHA 1,kp,Tokyo MOU (rétentions Asie-Pacifique),7354565,,OpenSanctions,psc_detained
ALFA,mh,Tokyo MOU (rétentions Asie-Pacifique),9296808,,OpenSanctions,psc_detained
SEA MEADOW 19,pa,Tokyo MOU (rétentions Asie-Pacifique),9060364,,OpenSanctions,psc_detained
BBG ENDEAVOR,hk,Tokyo MOU (rétentions Asie-Pacifique),9598189,,OpenSanctions,psc_detained
PACIFIC CEBU,pa,Tokyo MOU (rétentions Asie-Pacifique),9254460,,OpenSanctions,psc_detained
BALTIC SPIRIT,bs,Tokyo MOU (rétentions Asie-Pacifique),9765873,,OpenSanctions,psc_detained
CRATER,lr,Tokyo MOU (rétentions Asie-Pacifique),9304289,,OpenSanctions,psc_detained
EVER FORTUNE,bz,Tokyo MOU (rétentions Asie-Pacifique),9066746,,OpenSanctions,psc_detained
BUMBLEBEE,mh,Tokyo MOU (rétentions Asie-Pacifique),9479046,,OpenSanctions,psc_detained
DONG HO,mn,Tokyo MOU (rétentions Asie-Pacifique),9159309,,OpenSanctions,psc_detained
XIN HAI TONG 27,mh,Tokyo MOU (rétentions Asie-Pacifique),9453262,,OpenSanctions,psc_detained
POLAR STAR,pa,Tokyo MOU (rétentions Asie-Pacifique),9193599,,OpenSanctions,psc_detained
ALPHA LIBERTY,gr,Tokyo MOU (rétentions Asie-Pacifique),9590709,,OpenSanctions,psc_detained
EVER TOP,pa,Tokyo MOU (rétentions Asie-Pacifique),9665619,,OpenSanctions,psc_detained
TREASURE OCEAN,pa,Tokyo MOU (rétentions Asie-Pacifique),9240031,,OpenSanctions,psc_detained
GULF JALMUDA,pa;sa,Tokyo MOU (rétentions Asie-Pacifique),9359894,,OpenSanctions,psc_detained
NSU BRAZIL,lr,Tokyo MOU (rétentions Asie-Pacifique),9837987,,OpenSanctions,psc_detained
TW JIANGSU,lr,Tokyo MOU (rétentions Asie-Pacifique),9603532,,OpenSanctions,psc_detained
GLORY GODDESS,bz,Tokyo MOU (rétentions Asie-Pacifique),8672316,,OpenSanctions,psc_detained
GRAN JAGUAR I,st,Tokyo MOU (rétentions Asie-Pacifique),1148457,,OpenSanctions,psc_detained
BRADLEY,pa,Tokyo MOU (rétentions Asie-Pacifique),9166417,,OpenSanctions,psc_detained
VELA PRIME,pa,Tokyo MOU (rétentions Asie-Pacifique),9218272,,OpenSanctions,psc_detained
POPLAR ARROW,bs,Tokyo MOU (rétentions Asie-Pacifique),9235141,,OpenSanctions,psc_detained
NORD SINGAPORE,pa,Tokyo MOU (rétentions Asie-Pacifique),9913535,,OpenSanctions,psc_detained
SAMJOHN DREAM,mh,Tokyo MOU (rétentions Asie-Pacifique),9612064,,OpenSanctions,psc_detained
INTERLINK FORTUITY,mh,Tokyo MOU (rétentions Asie-Pacifique),9711755,,OpenSanctions,psc_detained
NEKSU,tg,Tokyo MOU (rétentions Asie-Pacifique),8907606,,OpenSanctions,psc_detained
CARAMELLO,lr,Tokyo MOU (rétentions Asie-Pacifique),9313412,,OpenSanctions,psc_detained
ZHONG XIN PEARL,hk,Tokyo MOU (rétentions Asie-Pacifique),9684134,,OpenSanctions,psc_detained
ANL KOKODA,mt,Tokyo MOU (rétentions Asie-Pacifique),9516765,,OpenSanctions,psc_detained
AFFINITY DIVA,lr,Tokyo MOU (rétentions Asie-Pacifique),9919917,,OpenSanctions,psc_detained
ULANGA,pt,Tokyo MOU (rétentions Asie-Pacifique),9690080,,OpenSanctions,psc_detained
AC SESODA,pa,Tokyo MOU (rétentions Asie-Pacifique),9470791,,OpenSanctions,psc_detained
ACHILLEAS S.,lr,Tokyo MOU (rétentions Asie-Pacifique),9490789,,OpenSanctions,psc_detained
TURICUM,ch,Tokyo MOU (rétentions Asie-Pacifique),9583110,,OpenSanctions,psc_detained
TITAN,pa,Tokyo MOU (rétentions Asie-Pacifique),9558907,,OpenSanctions,psc_detained
UGLJAN,bs,Tokyo MOU (rétentions Asie-Pacifique),9412294,,OpenSanctions,psc_detained
NEW AUDACITY,pa,Tokyo MOU (rétentions Asie-Pacifique),9664160,,OpenSanctions,psc_detained
PH MINH GIANG,pa,Tokyo MOU (rétentions Asie-Pacifique),9465722,,OpenSanctions,psc_detained
YUSHO LILY,pa,Tokyo MOU (rétentions Asie-Pacifique),9350109,,OpenSanctions,psc_detained
TASCO SAKORN,sg,Tokyo MOU (rétentions Asie-Pacifique),9523782,,OpenSanctions,psc_detained
HONG CHANG HAI,bz,Tokyo MOU (rétentions Asie-Pacifique),8554253,,OpenSanctions,psc_detained
STC COLUMBUS,pa,Tokyo MOU (rétentions Asie-Pacifique),9203382,,OpenSanctions,psc_detained
SDR MARIAM PEARL,pa,Tokyo MOU (rétentions Asie-Pacifique),9200017,,OpenSanctions,psc_detained
GEORGIA M,pa,Tokyo MOU (rétentions Asie-Pacifique),9321196,,OpenSanctions,psc_detained
SAOSHYANT,pa,Tokyo MOU (rétentions Asie-Pacifique),9014119,,OpenSanctions,psc_detained
ADMIRALTY SPIRIT,mh,Tokyo MOU (rétentions Asie-Pacifique),9272773,,OpenSanctions,psc_detained
AAL BRISBANE,lr,Tokyo MOU (rétentions Asie-Pacifique),9498341,,OpenSanctions,psc_detained
YUAN XIANG FEN JIN,pa,Tokyo MOU (rétentions Asie-Pacifique),9982419,,OpenSanctions,psc_detained
SSI SURPRISE,mh,Tokyo MOU (rétentions Asie-Pacifique),9603142,,OpenSanctions,psc_detained
FUTONG EXPRESS,pa,Tokyo MOU (rétentions Asie-Pacifique),9111589,,OpenSanctions,psc_detained
GURNET BAY,pt,Tokyo MOU (rétentions Asie-Pacifique),9667045,,OpenSanctions,psc_detained
TS JOHOR,mh,Tokyo MOU (rétentions Asie-Pacifique),9955430,,OpenSanctions,psc_detained
JUDITH,lr,Tokyo MOU (rétentions Asie-Pacifique),9527142,,OpenSanctions,psc_detained
SUPERNOVA,pa,Tokyo MOU (rétentions Asie-Pacifique),9357822,,OpenSanctions,psc_detained
SDM TAICANG,lr,Tokyo MOU (rétentions Asie-Pacifique),9949223,,OpenSanctions,psc_detained
ASIA STAR,mn;sl,Tokyo MOU (rétentions Asie-Pacifique),9405136,,OpenSanctions,psc_detained
ATHENIAN PHOENIX,pa,Tokyo MOU (rétentions Asie-Pacifique),9451616,,OpenSanctions,psc_detained
TASMAN,mh,Tokyo MOU (rétentions Asie-Pacifique),9189342,,OpenSanctions,psc_detained
GOLD SPRING,sl;st,Tokyo MOU (rétentions Asie-Pacifique),9646118,,OpenSanctions,psc_detained
NSG GLORY,lr,Tokyo MOU (rétentions Asie-Pacifique),9441269,,OpenSanctions,psc_detained
PHOENIX ZHONG YUN,pa,Tokyo MOU (rétentions Asie-Pacifique),8671386,,OpenSanctions,psc_detained
SAKIZAYA ORCHID,pa,Tokyo MOU (rétentions Asie-Pacifique),9811036,,OpenSanctions,psc_detained
IVS SENTOSA,sg,Tokyo MOU (rétentions Asie-Pacifique),9528005,,OpenSanctions,psc_detained
HEIWA MARU,tg,Tokyo MOU (rétentions Asie-Pacifique),9036349,,OpenSanctions,psc_detained
PRINCESS DORIS,mh,Tokyo MOU (rétentions Asie-Pacifique),9248899,,OpenSanctions,psc_detained
IGNAZIO,pa,Tokyo MOU (rétentions Asie-Pacifique),9425784,,OpenSanctions,psc_detained
